pathway	description	QA_23_C	QA_25_600	QA_25_300	QA_24_600	QA_23_600	QA_24C	QA_25C	QA_24_300	QA_23_300	X_1_1C	X_2_1C	X_3_1C	X_4_1C	X_5_1C	Q1C11
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	52077.69736107444	210562.84450776145	123805.88225157707	97783.05950634716	135547.46618857016	104238.32123113768	100116.58287918531	60834.68236073495	76181.14141825076	27506.63684565233	21399.01037051964	33116.86200388133	24343.616452211078	38642.47497998228	44853.59956698421
ARO-PWY	chorismate biosynthesis I	56080.66529858342	209612.7869744084	126562.06029210196	100626.75432976706	141243.71231789712	113844.387677763	102591.11965619124	64825.94791197264	82707.86326937508	32360.54284061105	22931.279787930416	36247.21222928386	27789.541709709087	42141.30477120828	46117.28901723352
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	10523.78165565961	46233.38895234133	30836.488516975656	25083.87232423409	32069.58388092176	21400.33977837252	23212.883034466744	12054.268057164549	14910.354742166086	13449.331401439602	9791.461184397102	19816.379954241263	15450.911946939355	22921.169161875805	19939.301419760235
AST-PWY	L-arginine degradation II (AST pathway)	1214.7896477701152	754.2168418529891	1937.942894960889	1118.7479175423578	899.9360226259719	2389.653581567235	2121.980658782668	1258.2532710729593	1452.7085489269746	1098.5656139325883	1581.79460089362	1796.6378834384748	4150.566037639244	1597.032285122383	5116.890151253268
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	3033.8867907334584	1884.1914268696955	4341.897805493372	2618.4751556388064	2548.165774282741	5751.63390252955	4607.167685250975	2911.437379878544	3267.430983526686	10102.415811941695	9231.432833767514	9961.940104175235	14852.637924073751	12488.245287594656	15044.69868082421
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	55257.650734704686	218779.08229084668	128571.18440376548	101965.82648536452	142537.43988474936	111106.65939360752	105105.7616959174	64492.09640236958	79616.15022792325	38339.78995622135	28904.971661753734	42475.11600575178	34269.099718823665	47934.3961359002	48180.77841458057
CALVIN-PWY	Calvin-Benson-Bassham cycle	36656.15416562328	99895.41424101467	74546.59242043819	60051.27252348462	85013.27570320493	76024.27209109181	59688.61802272885	40877.122458695085	56470.5215738306	34272.02631376162	25774.04323388656	40383.72852749584	31727.09535292953	45968.01836862128	41027.30195595826
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	316.7982369093231	104.74917888875294	222.150321413622	361.7166078008848	202.2669857447416	727.3290774695209	239.06128359304788	302.2545410562284	267.28678634247945	909.4418338878282	3007.3739446803243	1418.341527542302	1978.7274994004893	1267.2421791918578	1181.5376267391698
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	262.40000000000003	0.0
CENTFERM-PWY	pyruvate fermentation to butanoate	128.71308925117427	266.52368350297394	198.84632539896944	177.14032945036348	239.2402334682536	514.8432501342974	232.60163917283973	122.06518264090852	146.39540056589186	11131.507413529522	8577.637303864647	14130.08216664606	8508.834624627223	15153.676115541311	66.16702578766298
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	271.1085034040537	16.29961645663251	48.58913684861116	32.9734013969806	78.31765015791788	0.0
COA-PWY	coenzyme A biosynthesis I	57789.8798832036	234855.97937412185	138519.8482459667	110703.3283725668	154234.77960614293	118369.59989862604	110656.199963852	67615.71698091383	86929.1184278424	30768.096531817613	21090.12222939005	33822.58532502039	25415.55767182128	39377.730071228	47712.58597725388
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	1464.452250970143	972.3642723004303	2006.5116454545305	869.1292327787712	899.5693856119289	2580.3193618101063	2695.816057648233	1044.8279292425127	1143.043964711267	18136.442054176325	14794.363484630128	23558.47321274913	16573.394191041887	24272.515204171774	3202.461772859272
CODH-PWY	reductive acetyl coenzyme A pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3400.702268336576	1097.7418193332023	2944.3394085801524	1031.186729206638	3798.088506101851	0.0
COLANSYN-PWY	colanic acid building blocks biosynthesis	1293.183857954721	1477.2533338977205	3329.1967675577	1056.6327774193642	1135.3634235697357	2934.1520132117944	3366.701079054468	1607.90551314493	1881.54817931816	14929.065489321802	9844.058362596648	13203.839967572523	14629.426848542616	13563.555402767155	5577.714328406952
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	58676.323163009234	220491.1663345681	132757.25280015785	105396.77388391654	147856.32604618836	118906.198002193	107691.96996998572	67905.65005195908	86399.81953382774	33434.68975142926	23837.64644070665	37682.41813020715	28848.981763130017	43828.05546100887	48385.37001813973
CRNFORCAT-PWY	creatinine degradation I	5.8703462649051685	36.58043838992584	41.28875362519122	0.0	17.09107747109236	19.132329224360728	0.0	3.4815079250749235	6.781001730646683	920.5090025342696	3718.8930055971114	1927.9013802688444	2624.5146267100936	1207.4305168751362	39.619445432700736
DAPLYSINESYN-PWY	L-lysine biosynthesis I	26655.940178710527	119509.31381619314	69198.88132262278	55173.06473163417	73809.64658248419	53107.63424781678	56405.26890064895	28842.513337514087	38136.125562304725	28623.79246745588	21784.999687064737	33700.44132043614	25320.78053111815	39190.858580530105	31814.06019874731
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	878.31137054005	2623.4878247284373	1144.8398345319763	1296.431825642801	667.2540328384604	0.0
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	61515.79110523809	246230.0504477757	146381.6476043142	117635.01410267188	163468.60946368525	126157.5910424996	116879.0084077545	72105.63240217225	92167.36068167434	29014.67261370104	20783.29551026333	31223.981424583617	25645.32541436242	37249.48631805645	50651.81411001413
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.834986145419816	60.803761322901096	11.198625466867384	104.64697335832616	0.0	0.0
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	55566.26228404724	221464.11896669655	134180.996860218	107438.59931855684	150297.91339238436	114676.21191751491	105587.6785817626	66474.05625776034	84096.92351244985	25244.15607821506	18899.87710616661	28471.505696748336	22807.38536503203	31275.105702067176	46736.87071351435
ECASYN-PWY	enterobacterial common antigen biosynthesis	1297.0849327101753	1052.6709986064147	2734.372570412453	1204.2079396284073	1005.3282247144634	2709.8935286260835	2887.8795534182323	1522.1136222951236	1716.194471266667	1061.66582771815	2052.519463987829	3141.661234377605	5702.818765126312	3813.544313099306	4857.350102305126
ENTBACSYN-PWY	enterobactin biosynthesis	4701.884195937004	3444.962810035307	8579.068586352456	4236.933289988937	3947.597362974072	9272.89189761647	9084.945383232722	5063.432715815605	5810.000945407857	4150.821472585857	9347.457825075437	8867.925472973606	12557.667019082666	9684.29392165513	15631.0796448261
FAO-PWY	fatty acid &beta;-oxidation I	2785.8545798774435	2192.185810086445	3990.164943610739	2763.8262668364123	2921.225222675212	5425.050305025474	4355.042949977104	2793.8364069037752	3403.3492310443207	15209.720607566846	16222.849520161595	14194.723484260225	20605.921807179056	23533.299545720824	11060.134349939064
FASYN-ELONG-PWY	fatty acid elongation -- saturated	25420.983128365355	104668.9657203063	65319.219476407736	51804.82818720203	72102.35586620544	47586.97364070189	52115.24505505618	26836.46365019165	37087.64549011958	31008.96431438491	24171.48582561337	31642.17778218704	32253.352725517096	37414.47641808818	33733.9722216479
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	4976.11170566096	2483.4455669895938	6395.360341895777	4560.869332974135	4001.904605692589	9736.365654210847	7095.740844275925	5043.287635583174	5230.980893614889	11675.506386526604	11994.921281716835	12004.618564152965	19272.29165245229	14880.222568823154	21840.120402340614
FERMENTATION-PWY	mixed acid fermentation	59437.243206159255	233239.4211180207	140023.68384339797	111903.20425205518	156389.58788095953	122204.8030402392	112026.46270317674	70190.23791113534	88751.76286147302	17099.955368832656	13052.83201453508	19425.44392560642	20833.25733810257	22410.42347615997	49294.935630186
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	56574.2975836819	225108.97113516455	132857.20695593586	105313.89494737108	145983.44951375615	114565.3477928838	107295.70717065311	66155.27896129053	83505.10758155341	23806.129114287058	17329.1751019589	24410.38608550297	22538.90960321747	30966.939521491346	48571.39220503418
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	611.227384559777	644.5873597395332	1497.8031047851073	498.8472512984948	530.6162317988104	1322.9351745717154	1602.7978030226836	746.8788333761796	851.4772604920151	1786.1420879607092	2038.9537115119936	3205.4925084392908	4127.71824163236	2968.9700752558288	2161.211484614314
FUCCAT-PWY	fucose degradation	472.3110482811397	568.2831678182243	1393.910098740692	368.4108433682336	411.916438786048	1126.3962447976674	1394.6497593901609	638.9451840366155	723.7059517631928	2288.486776869567	2098.374432508892	3639.877713525172	3813.020245315608	3119.660373527546	1955.900847890011
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	2351.637781771172	2254.2275025681265	3490.531955289945	1743.437255124967	2274.5477353109527	3878.689385916672	3992.482616593231	1779.6062360656822	2283.338346980811	2860.2870573389987	2620.255421616981	4185.056325622604	6801.733788956445	4284.835805132296	4127.25580296925
GALACTARDEG-PWY	D-galactarate degradation I	959.6791155355346	736.0242135005037	1949.76290580852	847.6361198210324	711.5998703643648	2008.3558366668449	2067.697090644336	1124.3597069754817	1245.8112322292334	1842.8790231833973	3008.76346678086	2952.1247025372486	5547.580689232808	2621.311459895067	3749.175782410816
GALACTUROCAT-PWY	D-galacturonate degradation I	1972.6000124605457	2022.0802379975937	3294.743807551293	1666.6492763978447	1979.5658859481064	3521.929012156586	3563.860707261789	1765.1893840801756	2245.1977268736605	6926.260591005846	5681.465451605163	7894.531690401285	11359.79279304551	8816.086212100821	5783.405299343715
GALLATE-DEGRADATION-I-PWY	gallate degradation II	125.0	53.0	51.83	46.0	113.83	201.0	118.67	95.5	213.0	922.640882020509	527.84873865237	299.69383086876155	1068.4597607931016	725.9311123526359	338.67
GALLATE-DEGRADATION-II-PWY	gallate degradation I	125.0	53.0	51.83	46.0	113.83	201.0	118.67	95.5	213.0	482.2847955810244	527.84873865237	299.69383086876155	1068.4597607931016	725.9311123526359	338.67
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	15962.44467465582	42035.47174703844	32369.05638161761	27436.41070637559	38789.5157104709	35988.71212624215	23701.04119438111	18915.82790733922	26982.34636398112	2654.345851360677	2470.89686029206	5119.865432726984	5638.372975535687	5034.684330298199	11180.538636191846
GLUCARDEG-PWY	D-glucarate degradation I	1058.0681172189727	802.0011046376592	2030.8487293564197	877.9232571169206	755.962493076707	2133.9860487538026	2235.561004279259	1148.2368234644591	1259.9724816213472	2082.982606571363	2822.4107728462177	2864.260300707237	5063.021881676459	3376.959815694072	3753.4680009600575
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	959.6791155355346	736.0242135005037	1949.76290580852	847.6361198210324	711.5998703643648	2008.3558366668449	2067.697090644336	1124.3597069754817	1245.8112322292334	1842.8790231833973	3008.76346678086	2952.1247025372486	5547.580689232808	2621.311459895067	3749.175782410816
GLUCONEO-PWY	gluconeogenesis I	22344.058400689537	84383.43026867395	52411.857033362336	41014.21780076112	57916.218658963095	46446.00363301443	45194.37684958604	24786.500464464003	33840.680021677625	27590.48708284472	20784.356654207768	31533.506699585843	25907.26699388976	36958.95985383411	30833.340148085696
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	2330.9015778923454	1371.98362579099	3675.2007407953	1767.7636787408562	1724.7491935577368	3964.6528221612334	3861.188039726515	2080.477623674009	2519.685173418413	3627.78792706673	4391.7234001996485	4616.945557121948	7752.70789374154	6971.921468251688	12624.538129987466
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	4043.3704606757383	3879.006202701881	5285.587610845532	3045.753664286597	4432.268486460693	6112.829527736715	6025.601735981146	2738.275491903545	3875.5520247884624	5117.1181919578285	6186.085556497853	7606.940889619015	11785.057413808216	8377.794602289021	7251.166586798109
GLUTORN-PWY	L-ornithine biosynthesis	42944.79610294804	171131.65342739006	100017.70906236317	77960.2597131486	109172.17464911976	85355.1119843138	82154.90617551615	50094.64348351617	61831.95901116174	24441.427766317334	18911.69726706036	28968.419138814963	21754.6036644858	34012.84657056688	37404.3009086013
GLYCOCAT-PWY	glycogen degradation I (bacterial)	40534.28087548116	166571.6843827883	96842.9159843138	74516.12389044612	105407.96219498289	76756.5847583482	80294.99022504501	42130.88129648531	58613.72005510103	27396.857012930053	17554.033033891756	29917.59398180732	22093.33644106292	33979.12730406307	39856.39909131637
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	49518.46871905404	195364.33109738957	117340.89712638318	91737.8689127607	126719.06159390631	101371.3331199149	91801.47755011398	58814.461015585744	78358.06049786657	29840.721588603366	18648.171825158905	33265.94284070225	23437.927355392803	38559.32165296482	37669.204442343
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	801.948329211372	774.1820589024571	1746.9675920076168	559.0639382271481	698.5572343652108	1688.014684423394	1921.559925989077	880.1651625746415	1136.160812934314	1054.520894163689	1434.0758768610774	1642.3869575032056	3476.258143615428	1970.9052160494791	2190.565107969461
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	44358.6612048512	165967.83032984394	95089.81676255653	77259.58688822878	106563.6841313108	91558.85757276004	75199.61374652744	50051.79747936144	68074.36534505064	30976.9396458156	21705.8017094686	31535.3717238982	27967.17064534116	40404.01394836118	46830.210836315
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	19554.960869822047	59869.11232339736	39649.855953185564	31683.94543851515	43356.62256829675	36864.29320372362	33503.05051126965	20413.007010667086	28989.21313799202	21450.88290852163	16276.876076260598	21158.65043932867	20391.189726663742	27644.66076326871	27347.3318089277
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	4831.572119451174	4698.609181194244	8406.255640049196	5072.907594527242	4846.555443703808	10217.31077039954	8758.767613728973	5300.2154622033095	5981.967427612078	17047.65072372246	13823.416105504088	16713.4119073008	19815.042109075053	23781.713641530656	16727.7178223722
GLYOXYLATE-BYPASS	glyoxylate cycle	2301.631050943577	2066.9936863065136	4234.518068086189	2230.6131699040207	2146.9765942958493	5266.975015566298	4341.859669161799	2757.426481981205	2912.9455020534097	11996.725808796473	11394.762408282611	10647.687516957449	14426.51763329058	16464.937065503123	9447.924164061002
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	4006.506583618399	6649.5718518088825	5312.570905263644	2741.027398495594	3193.0968716922425	6005.427023340667	6505.814908396192	2182.8341994311395	2681.2480646031936	750.0004016896751	976.1236566731774	1025.3427433265567	2610.3574570646674	1231.5523313149415	4579.15662289715
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	369.3993818440677	401.7478586185717	1033.4628502146345	438.4638032504548	210.62863539084563	1215.0134280824202	913.444650061322	726.7594079744883	541.7897114912711	148.18635545308777	431.2573290068869	383.29612481839246	916.5261751485152	496.6359886596181	2047.9946022025413
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	1626.2108756256089	927.518619187881	2062.6083451320537	1589.3322408014312	1755.5983995128568	3365.926944221515	2436.131039656428	1579.2010336628484	1845.5143167749632	8953.859265841684	8292.029032136688	7662.843216559059	11665.621385943445	12049.3589633741	6495.878441925677
HEMESYN2-PWY	heme biosynthesis II (anaerobic)	4059.2241111929375	6198.30481826129	6466.308618505043	4554.6179932931445	8640.219458638307	10027.594435576566	7356.258302510418	4284.552055311459	5548.633546514508	18985.63606038784	15077.952544352218	16161.51197214106	17938.213448516486	23348.58255273336	12199.760780722432
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	25924.99862854064	123725.15715276156	76911.45784798262	62210.50233637105	84523.33208379433	56238.464237396176	58224.83190204344	33053.7362756638	43346.50915284482	4391.726890847987	5955.544975867732	8697.877556658448	10004.910298969333	9160.790506330826	31132.95111453578
HISDEG-PWY	L-histidine degradation I	972.0814196955192	949.0441704376132	1248.0464933406256	942.3013882011074	1158.3034755844951	1682.7128483666631	1621.9837858346928	755.4347289212463	1187.300826828891	12201.386679095624	10769.879980123009	12054.096473541966	13936.324121274984	15310.78982972619	4149.631773003586
HISTSYN-PWY	L-histidine biosynthesis	44246.98925355274	173531.7341275629	102094.6467341498	79877.24826532937	112189.8464216562	88275.36437218539	84001.65940247045	51313.54527823213	63717.862343056746	25695.064807906627	19670.5544688353	31479.23013592845	22919.505012314818	35474.1727511506	38142.34900425673
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	52643.59579548499	207813.9674180659	125591.12312095088	100518.65976952863	140760.87647191287	108062.11238058904	99965.9292285516	62042.485623239314	78779.43039478095	14702.484642102838	11529.300984682932	16517.75392381091	16821.653060401462	21107.877409576384	44335.18145427232
HSERMETANA-PWY	L-methionine biosynthesis III	5326.454218882587	5106.916020544025	7316.286606290054	4462.198099696052	5081.108055942633	9435.269681919845	8742.597920657838	4279.727372712939	5145.891574317053	19863.416786993508	14600.785278010955	18880.90790006593	20433.157359982943	25077.496796179326	13268.775245402352
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	59822.63613724707	235978.1486513919	137907.7803335835	110968.7274566555	155271.54923635797	120435.08184127844	113217.5809528864	69829.97012968775	84440.82918126711	40766.55482371049	32310.22548543783	44550.1401296137	38730.698581231634	50455.21437143032	52406.01694441572
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	1444.8865246358048	930.149272699474	1699.2587329304652	1193.76054379139	1346.1784658656306	2467.4500436334515	1909.723396232296	1199.3533311051644	1504.9421484065526	3744.73824560838	5743.284728882437	7914.281824605951	11520.529253629362	8234.654253577159	8121.576178966009
KETOGLUCONMET-PWY	ketogluconate metabolism	467.664189556272	132.9891041314711	150.0881708943268	276.7540479175396	447.3068605720611	961.4935431224284	380.7298460859348	495.6719749855674	288.6509684084009	2080.6878716387832	2686.974510715165	2740.597320124413	5477.156671024558	2566.3033379808026	1984.750511888959
LACTOSECAT-PWY	lactose and galactose degradation I	48746.08487716699	186251.47184316211	114719.21576960589	88303.11421059545	124418.02631249168	102132.77696387404	89840.57122273513	58280.11283713163	78423.76240995715	854.349870953818	528.9052718438062	930.1229679431958	585.0511528281371	1108.352189714813	30869.991263254626
LEU-DEG2-PWY	L-leucine degradation I	655.156905909656	344.706368769274	437.26672824712114	711.4547522580217	833.940826937832	1291.0544184824982	490.2937188098268	545.9506256664826	620.0842286367704	7437.951760564708	8052.321711651003	4236.631897820636	7230.497146085902	6033.009157205642	3353.2171909876924
LIPASYN-PWY	phospholipases	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	293.5425681687476	70.96157406075291	163.72117154909773	68.57798049432458	436.7692447424108	0.0
LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	574.4951853665675	106.3265947664834	0.0	0.0	479.91806088244266	771.3252709795489	160.0872912467987	0.0	121.6896199107142	366.8137550639323	1654.2442861189888	2366.254703518114	5196.880708220743	1954.5287625741148	2324.996827661848
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	55712.44283370748	222034.52750293232	132982.25455917674	106312.8060618034	148403.89602831812	114106.69209765272	106182.94363059614	65298.44682765666	83471.44120219961	19822.59591779632	15042.745181451772	21507.92214021253	21128.20903831707	27582.92165981954	47562.01170797254
METH-ACETATE-PWY	methanogenesis from acetate	0.0	0.0	0.0	0.0	0.0	0.0	1.9999828565870077	0.0	0.0	4721.951374709178	1646.9251982370035	5233.713882057853	1866.535398062174	6478.115710497395	0.0
METHANOGENESIS-PWY	methanogenesis from H2 and CO2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.111486638050714	0.0	34.48532461088299	0.0
METHGLYUT-PWY	superpathway of methylglyoxal degradation	968.6829898255424	639.9862470392745	1634.521644272933	865.5615483928959	532.5451840217299	2045.203939712736	1623.7344164872209	1081.9560158369932	918.0723583793156	329.66445353128256	637.9283882298098	630.366814469747	671.5938024716153	601.3529518256848	2848.5772029376067
METHYLGALLATE-DEGRADATION-PWY	methylgallate degradation	155.7900905631587	66.20984510531704	64.7286219665532	57.44354977778461	142.05542220767688	250.59830907812665	148.04170234775123	119.01735862102284	265.1157169247066	1147.3541407105224	657.2698839694034	374.2036908820279	1327.996839677505	905.0959286810654	421.2371771819504
NAD-BIOSYNTHESIS-II	NAD salvage pathway II	2054.399882589956	1360.9043895745294	3187.803101186357	1821.5548531365223	1838.0290300623572	4123.268313058488	3377.801489672156	2069.0198647807943	2407.803413089735	1417.902466923686	2731.1387130164817	3729.735974724927	6526.182110160328	4478.282625351006	9534.52055705686
NADSYN-PWY	NAD biosynthesis II (from tryptophan)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2452.381435326477	1286.1455074845824	861.7223714857	871.8725500878271	1068.9861259443785	0.0
NAGLIPASYN-PWY	lipid IVA biosynthesis	1560.1958926546554	1179.7750775797426	2186.979289554052	1339.8563308466516	1463.164692429514	2813.800588214576	2300.657033271562	1404.8619898564875	1700.6631184997884	14981.326716523185	10481.858769236556	13635.29178702148	15780.93939433805	12578.940526854882	8411.772381541077
NONMEVIPP-PWY	methylerythritol phosphate pathway I	2564.24121329794	1969.3032530639475	3937.078008090264	2458.9347579739465	2425.642396510538	4922.017802465947	4020.1254414586874	2460.0105230837826	2911.738695921271	30488.48196769821	20642.773848834287	33102.32696454656	24540.645136710173	38506.54663453152	10763.360580682498
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	54966.373230189536	207946.65652993508	125307.63690664886	99919.61984559664	138954.16341476858	112034.96386889913	102202.75612150086	63562.0203637828	81715.0739103892	40520.98913457026	29316.47977020598	48088.85613824403	36711.17173279947	54008.52331362653	49381.4235108339
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	56194.02445010947	227477.0631177206	135352.2234191511	108556.62187045538	151631.01802474118	115670.9492113492	107173.18823510232	66566.96968725517	85000.61565326294	25855.765407167062	19187.2596117692	28358.066175038708	22663.47379971042	32514.16757815707	45852.46076343703
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	1247.258460407006	1152.1326920924266	2739.998081479676	1164.8478461431282	1028.010249026866	2566.1115694884047	2897.05871068372	1448.1529830189045	1753.3384709751324	1295.3529049058525	1996.0534124415192	2636.4185579136133	5357.097415090538	2258.395784178977	4796.109327944953
ORNDEG-PWY	superpathway of ornithine degradation	1847.569520268252	1280.6262450092054	3307.409381176225	2143.346949400248	1618.1157271980785	4119.059169216402	3741.288740242802	2290.056538249438	2550.3230098858558	1800.7238058250257	1786.2009326263344	2439.7900826051223	5704.780634273601	2150.341231415276	6957.754803059767
P101-PWY	ectoine biosynthesis	80.75093217924554	0.0	19.463696439559275	64.00662231137906	105.93842714207888	103.62891954078646	84.87959613818124	55.43539563068767	97.65857721241774	1357.6857184928856	2569.63820721389	2125.677336998087	1473.4747521348709	4738.730902863407	213.12646859873044
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	4264.200657912831	4433.696897015465	7229.420922208259	4438.0454929972	5344.495807784404	9416.204443678029	7561.3824415212575	4578.175941203143	5472.154477630893	20359.94379830305	16153.46661731183	18940.42763228613	22498.16597247095	27406.994864661043	14358.867523524275
P108-PWY	pyruvate fermentation to propanoate I	166.37500181189705	828.9432000964919	269.7601508084084	323.572985687519	652.8714065203412	204.45116289231385	258.9089655200866	122.52370318934967	293.2505546804329	18688.137202700324	13753.830659428468	17716.942484076884	18384.195701663823	21648.339517085216	752.1507440068955
P122-PWY	heterolactic fermentation	23519.9582096282	98497.0039154346	57802.16628798311	45557.95726444008	63540.40104424096	44455.17671894611	47586.82129373912	23067.47236338909	32750.586217232478	6368.206638377224	6625.0894483767615	5713.95795876248	3983.045988429298	10626.614256988012	20141.863495881265
